patterns,tags,responses
Halo,Salam,"['Halo! Selamat datang di website Universitas Mataram, ada yang bisa kami bantu?', 'Hai, terima kasih sudah mengunjungi Universitas Mataram. Bagaimana kami bisa membantu Anda hari ini?', ""Assalamu'alaikum! Selamat datang di Universitas Mataram, apa yang bisa kami bantu?"", 'Selamat datang di Universitas Mataram! Apakah ada informasi yang Anda butuhkan?', 'Halo! Universitas Mataram siap membantu Anda. Silakan tanyakan apa pun yang ingin Anda ketahui.', 'Hai! Apa kabar? Kami senang bisa membantu Anda di Universitas Mataram.', 'Selamat datang di website resmi Universitas Mataram, kami siap membantu kebutuhan informasi Anda.']"
Hai,Salam,"['Halo! Selamat datang di website Universitas Mataram, ada yang bisa kami bantu?', 'Hai, terima kasih sudah mengunjungi Universitas Mataram. Bagaimana kami bisa membantu Anda hari ini?', ""Assalamu'alaikum! Selamat datang di Universitas Mataram, apa yang bisa kami bantu?"", 'Selamat datang di Universitas Mataram! Apakah ada informasi yang Anda butuhkan?', 'Halo! Universitas Mataram siap membantu Anda. Silakan tanyakan apa pun yang ingin Anda ketahui.', 'Hai! Apa kabar? Kami senang bisa membantu Anda di Universitas Mataram.', 'Selamat datang di website resmi Universitas Mataram, kami siap membantu kebutuhan informasi Anda.']"
Selamat pagi,Salam,"['Halo! Selamat datang di website Universitas Mataram, ada yang bisa kami bantu?', 'Hai, terima kasih sudah mengunjungi Universitas Mataram. Bagaimana kami bisa membantu Anda hari ini?', ""Assalamu'alaikum! Selamat datang di Universitas Mataram, apa yang bisa kami bantu?"", 'Selamat datang di Universitas Mataram! Apakah ada informasi yang Anda butuhkan?', 'Halo! Universitas Mataram siap membantu Anda. Silakan tanyakan apa pun yang ingin Anda ketahui.', 'Hai! Apa kabar? Kami senang bisa membantu Anda di Universitas Mataram.', 'Selamat datang di website resmi Universitas Mataram, kami siap membantu kebutuhan informasi Anda.']"
Selamat siang,Salam,"['Halo! Selamat datang di website Universitas Mataram, ada yang bisa kami bantu?', 'Hai, terima kasih sudah mengunjungi Universitas Mataram. Bagaimana kami bisa membantu Anda hari ini?', ""Assalamu'alaikum! Selamat datang di Universitas Mataram, apa yang bisa kami bantu?"", 'Selamat datang di Universitas Mataram! Apakah ada informasi yang Anda butuhkan?', 'Halo! Universitas Mataram siap membantu Anda. Silakan tanyakan apa pun yang ingin Anda ketahui.', 'Hai! Apa kabar? Kami senang bisa membantu Anda di Universitas Mataram.', 'Selamat datang di website resmi Universitas Mataram, kami siap membantu kebutuhan informasi Anda.']"
Selamat sore,Salam,"['Halo! Selamat datang di website Universitas Mataram, ada yang bisa kami bantu?', 'Hai, terima kasih sudah mengunjungi Universitas Mataram. Bagaimana kami bisa membantu Anda hari ini?', ""Assalamu'alaikum! Selamat datang di Universitas Mataram, apa yang bisa kami bantu?"", 'Selamat datang di Universitas Mataram! Apakah ada informasi yang Anda butuhkan?', 'Halo! Universitas Mataram siap membantu Anda. Silakan tanyakan apa pun yang ingin Anda ketahui.', 'Hai! Apa kabar? Kami senang bisa membantu Anda di Universitas Mataram.', 'Selamat datang di website resmi Universitas Mataram, kami siap membantu kebutuhan informasi Anda.']"
Selamat malam,Salam,"['Halo! Selamat datang di website Universitas Mataram, ada yang bisa kami bantu?', 'Hai, terima kasih sudah mengunjungi Universitas Mataram. Bagaimana kami bisa membantu Anda hari ini?', ""Assalamu'alaikum! Selamat datang di Universitas Mataram, apa yang bisa kami bantu?"", 'Selamat datang di Universitas Mataram! Apakah ada informasi yang Anda butuhkan?', 'Halo! Universitas Mataram siap membantu Anda. Silakan tanyakan apa pun yang ingin Anda ketahui.', 'Hai! Apa kabar? Kami senang bisa membantu Anda di Universitas Mataram.', 'Selamat datang di website resmi Universitas Mataram, kami siap membantu kebutuhan informasi Anda.']"
Assalamu'alaikum,Salam,"['Halo! Selamat datang di website Universitas Mataram, ada yang bisa kami bantu?', 'Hai, terima kasih sudah mengunjungi Universitas Mataram. Bagaimana kami bisa membantu Anda hari ini?', ""Assalamu'alaikum! Selamat datang di Universitas Mataram, apa yang bisa kami bantu?"", 'Selamat datang di Universitas Mataram! Apakah ada informasi yang Anda butuhkan?', 'Halo! Universitas Mataram siap membantu Anda. Silakan tanyakan apa pun yang ingin Anda ketahui.', 'Hai! Apa kabar? Kami senang bisa membantu Anda di Universitas Mataram.', 'Selamat datang di website resmi Universitas Mataram, kami siap membantu kebutuhan informasi Anda.']"
Apa kabar?,Salam,"['Halo! Selamat datang di website Universitas Mataram, ada yang bisa kami bantu?', 'Hai, terima kasih sudah mengunjungi Universitas Mataram. Bagaimana kami bisa membantu Anda hari ini?', ""Assalamu'alaikum! Selamat datang di Universitas Mataram, apa yang bisa kami bantu?"", 'Selamat datang di Universitas Mataram! Apakah ada informasi yang Anda butuhkan?', 'Halo! Universitas Mataram siap membantu Anda. Silakan tanyakan apa pun yang ingin Anda ketahui.', 'Hai! Apa kabar? Kami senang bisa membantu Anda di Universitas Mataram.', 'Selamat datang di website resmi Universitas Mataram, kami siap membantu kebutuhan informasi Anda.']"
"Halo, ada yang bisa dibantu?",Salam,"['Halo! Selamat datang di website Universitas Mataram, ada yang bisa kami bantu?', 'Hai, terima kasih sudah mengunjungi Universitas Mataram. Bagaimana kami bisa membantu Anda hari ini?', ""Assalamu'alaikum! Selamat datang di Universitas Mataram, apa yang bisa kami bantu?"", 'Selamat datang di Universitas Mataram! Apakah ada informasi yang Anda butuhkan?', 'Halo! Universitas Mataram siap membantu Anda. Silakan tanyakan apa pun yang ingin Anda ketahui.', 'Hai! Apa kabar? Kami senang bisa membantu Anda di Universitas Mataram.', 'Selamat datang di website resmi Universitas Mataram, kami siap membantu kebutuhan informasi Anda.']"
Terima kasih,Respon_Terima_Kasih,"['Sama-sama! Senang bisa membantu Anda.', 'Dengan senang hati! Jika ada pertanyaan lain, jangan ragu untuk bertanya.', 'Terima kasih kembali! Semoga informasi ini bermanfaat.', 'Oke, semoga membantu! Jangan sungkan jika butuh bantuan lagi.', 'Senang bisa membantu, selamat melanjutkan aktivitas!', 'Sama-sama! Jika ada yang perlu ditanyakan lagi, saya siap membantu.', 'Baik! Jangan ragu untuk kembali jika ada yang ingin ditanyakan.']"
