tags,responses
Pendidikan_Profesional_Definition,"Pendidikan profesional adalah pendidikan yang diarahkan terutama pada kesiapan penerapan keahlian tertentu dan diselenggarakan oleh akademik, politeknik, sekolah tinggi, institut, dan universitas."
Logika Ilmiah,"['Mampu menerapkan pemikiran kritis/komputasional secara logis, sistematis, dan inovatif; serta melakukan penelitian berdasarkan ilmu pengetahuan dan teknologi yang diperolehnya. Selain itu, para lulusan juga didorong untuk menulis karya ilmiah']"
Unram_Definition,Universitas Mataram adalah perguruan tinggi negeri yang menyelenggarakan pendidikan akademik dan dapat menyelenggarakan pendidikan vokasi dalam berbagai rumpun ilmu pengetahuan dan/atau teknologi serta jika memenuhi syarat dapat menyelenggarakan pendidikan profesi.
Penasehat_Akademik_Definition,Penasehat Akademik (PA) adalah dosen yang membimbing mahasiswa agar dapat menyelesaikan studinya dengan baik.
Jaringan Syaraf Tiruan,"['Jaringan syaraf tiruan (JST) dalam Bahasa Inggris disebut dengan artificial neural network (ANN), atau juga disebut simulated neural network (SNN), atau umumnya hanya disebut neural network (NN), adalah jaringan dari sekelompok unit pemroses kecil yang dimodelkan berdasarkan sistem saraf manusia. JST merupakan sistem adaptif yang dapat mengubah strukturnya untuk menemukan solusi masalah berdasarkan informasi eksternal maupun internal yang mengalir melalui jaringan tersebut.']"
Fakultas_Definition,Fakultas adalah semua fakultas di lingkungan Universitas Mataram.
Tenaga_Kependidikan_Definition,Tenaga Kependidikan adalah anggota masyarakat yang mengabdikan diri dan diangkat untuk menunjang penyelenggaraan Pendidikan Tinggi.
Proyek Perangkat Lunak,"['Mata Kuliah ini memberikan pemahaman tentang konsep-konsep yang dipakai, kegiatan, dan proses dalam pembuatan perangkat lunak. Dimulai dari metode-metode yang terlibat dalam pembuatan perangkat lunak, kemudian memilih yang tepat untuk digunakan dalam sebuah studi kasus pembuatan perangkat lunak. Kemudian diajarkan juga untuk manajemen proyek dengan WBS dan tools manajemen project yang tersedia.']"
Program Studi_Definition,"Program Studi adalah kesatuan kegiatan pendidikan dan Pembelajaran yang memiliki Kurikulum dan metode Pembelajaran tertentu dalam satu jenis pendidikan akademik, pendidikan profesi, dan/atau pendidikan vokasi."
Mahasiswa_Baru_Definition,Mahasiswa baru adalah mahasiswa yang baru pertama kali terdaftar sebagai mahasiswa pada Universitas Mataram melalui seleksi masuk perguruan tinggi negeri sesuai dengan ketentuan yang berlaku.
MMahasiswa_Asing_Definition,"Mahasiswa asing adalah WNA yang mendaftar sebagai mahasiswa Universitas Mataram, yang telah memenuhi berbagai persyaratan yang ditentukan baik oleh Pemerintah Republik Indonesia maupun Universitas Mataram."
Keterampilan,"['Memiliki kemampuan manajerial dan komunikasi untuk membina bawahannya. Selain itu, kemampuan berkomunikasi (tertulis dan lisan) akan mendukung peran mereka untuk memulai dan memperluas jaringan kerja sama dengan mantan atasan, kolega, dan mitra potensial di dalam dan/atau di luar institusi/negara serta mengelola konflik yang mungkin terjadi', 'Mampu merancang, memulai dan/atau mengimplementasikan bisnis, memelihara bisnis, mengembangkan bisnis, dan bahkan mendukungnya dengan teknologi informasi untuk mengevaluasi kemajuannya dengan mengelaborasi pengetahuan analisis data']"
Keamanan Teknologi Informasi,"['Materi kuliah mencakup pengertian keamanan, pengertian sistem dan pengertian keamanan sistem, evaluasi keamanan sistem, mengamankan sistem informasi, keamanan email, keamanan web, eksploitasi keamanan sistem, cyber law, keamanan sistem wireless, manajemen keamanan informasi serta metode hacking dan security.']"
